input_address,score,CHI_Region,chi_district,chi_estate,OGCIO_CHI_BuildingName,OGCIO_CHI_StreetName,OGCIO_CHI_BuildingNo,OGCIO_CHI_Block,OGCIO_ENG_Region,OGCIO_ENG_District,OGCIO_ENG_Estate,OGCIO_ENG_BuildingName,OGCIO_ENG_StreetName,OGCIO_ENG_BuildingNo,OGCIO_ENG_Block
香港仔香港仔大道166至168號,92,香港,南區,,,香港仔大道,168,,HK,SOUTHERN DISTRICT,,,ABERDEEN MAIN ROAD,168,
銅鑼灣謝斐道488號,63,香港,灣仔區,,滙創大廈,謝斐道,488,,HK,WAN CHAI DISTRICT,,WELL-FOUND BUILDING,JAFFE ROAD,488,
中環德輔道中24號地下大堂,80,香港,中西區,,創興銀行中心,德輔道中,24,,HK,CENTRAL & WESTERN DISTRICT,,CHONG HING BANK CENTRE,DES VOEUX ROAD CENTRAL,24,
中環德輔道中24號地下大堂,80,香港,中西區,,創興銀行中心,德輔道中,24,,HK,CENTRAL & WESTERN DISTRICT,,CHONG HING BANK CENTRE,DES VOEUX ROAD CENTRAL,24,
北角英皇道376號,70,香港,東區,,美麗閣,英皇道,376,,HK,EASTERN DISTRICT,,MARY COURT,KING'S ROAD,376,
筲箕灣筲箕灣道203至205號,77,香港,東區,,,筲箕灣道,203,,HK,EASTERN DISTRICT,,,SHAU KEI WAN ROAD,203,
灣仔軒尼詩道265至267號,72,香港,灣仔區,,祥興大廈,軒尼詩道,265,,HK,WAN CHAI DISTRICT,,CHONG HING BUILDING,HENNESSY ROAD,265,
西環德輔道西347至349號,77,香港,中西區,,豐業大廈,德輔道西,347,,HK,CENTRAL & WESTERN DISTRICT,,FUNG YIP BUILDING,DES VOEUX ROAD WEST,347,
西環德輔道西81至85號,88,香港,中西區,,潮州會館,德輔道西,81,,HK,CENTRAL & WESTERN DISTRICT,,CHIU CHOW ASSOCIATION BUILDING,DES VOEUX ROAD WEST,81,
佐敦吳松街120號地下,88,九龍,油尖旺區,,餘慶大廈,吳松街,120,,KLN,YAU TSIM MONG DISTRICT,,YU HING MANSION,WOOSUNG STREET,120,
九龍灣宏開道8號其士商業中心地下8號舖,100,九龍,觀塘區,,其士商業中心,宏開道,8,,KLN,KWUN TONG DISTRICT,,CHEVALIER COMMERCIAL CENTRE,WANG HOI ROAD,8,
九龍城衙前圍道31至33號,92,九龍,九龍城區,,,衙前圍道,31,,KLN,KOWLOON CITY DISTRICT,,,NGA TSIN WAI ROAD,31,
